text,label
kalo bisa dimatiin dibunuh aja sekalian bikin kesel orang aja,individual
seharusnya kasus sprti ini para penegak hukum @divhumaspolri @kejaksaanri harus menerapkan hukuman maksimal yaitu hukuman mati,group
dih bucinnya parah semoga dihukum berat,individual
what the frik dia bilang punya anak cewek nyebut gw bisanya halal dibunuh ini ih keselllllll,individual
banyak bangsat yg hrs dibunuh,group
harus ada yg dibunuh nih si wc,individual
hrs jt plus dibunuh pengawalnya dan dipenjara kurang dzolim apa ni rezim tinggal menunggu murka allah,individual
manusia sekarang nggak kalah sama setan ya,group
ddooohhhh kezel bat bacanyaaa ini ibu tolol banget,individual
woi bangsat lu kalo komen nonton dulu videonya liat dulu beritanya goblok,individual
yang terjadi di wadas itu bukti ketidak mampuan pemerintah nilai permusyawatan dan perwakilan dibunuh oleh pemerinta,group
memanusiakan manusia lah jangan biadab biadab jadi manusia,group
hukum cambuk sampai mati aja,group
para sampah ribut soal ceramah yg katanya menormalkan kd tapi diem soal orang yg dibunuh keberpihakan lu kpd kebenaran atau kepentingan taek,group
bangsat loe ada mahluk disiksa dibunuh pada mingkemlah ini cuma kontroversi memukul istri treak kayak toa,individual
bangke loe monyet dia memperjuangkanmu lalu kao khianati monyet,individual
setan biadab kau,individual
kamu minta dibunuh ya,individual
hukum mati aja sekalian ama sih randy bagus meresahkan,individual
wajah polisi ini tolong dihafal mahasiswa ulm datang magang di polres malah diperkosa sama manusia ini,individual
@presidenmerdeka @mardanputranya @ajachid mukul jgn diartikan kdrt terus lo udah sinting yak g ada tuh yg namanya dipukul ngajarin istri atau anak kalau begitu suami yg selingkuh pantas untuk dihajar bahkan dibunuh krn berzina dan g menjaga kemaluan,individual
nangis bgt baca berita yang cewe diperkosa bahkan mau dibunuh sama supir dan kernet angkot pls hukum se berat beratnya dua orang itu,individual
tai bgt lg melindungi dunia sebagai dokter tbtb dibunuh mafia tai kucing,individual
orang kaya cio halal buat dibunuh ya bangsat tai kambing anjing,group
@janissarydlast yg mengkudeta dan mengeksekusi pemimpinnya dilabeli apa tuh jgn nanti imam mahdi muncul pun dilabeli khawarij dan radikalis dan ditentang penguasa bahkan diburu dan dibunuh,group
@sloridia @grjnakambs @preikencenggg @kalengsardien edukasi buat ngejulidin orang yg hobi ngentod tapi giliran jadi anak mau dibunuh sembarangan klo gw ketemu yg beginian bukan gw julidin di tiktok lagi klo bisa gw katain makanya klo ngentod pake kondom,individual
bangsawannya bisa dibunuh aja ga sih jijik banget liatnya,individual
@angelamoeza @ululagamani @anakkolong kadrun bloon masih ngeyel aja nih kalau mau tahu pembrontakan pki ya tanya soeharto di alam kubur sana drun,individual
konsan konsen giliran hamil bilang kecelakaan giliran hamil bayinya digugurin giliran hamil melahirkan bayinya dibuang atau dibunuh giliran kena pms makanya guys konsen juga pake kondom gak gak yg bener kagak usah seks bebas tolil,individual
@alavvyuuu aaaa masih eps liat gwinam ngeselin parah knp ga dibunuh aja,individual
pengikut dajjal itu orang beragama dan sudah mulai muncul di dunia ini mereka pake kopiah pake baju koko pake gamis tapi hatinya monster buat mereka yang berbeda pandangan dengan mereka halal untuk dibunuh,group
bangsat gua udh muak bgt sama kasus pemerkosaanpelecehan bahkan sampai korban dibunuh otaknya dimana si bangsat tolol tau ga sumpah goblok didikan orang tuanya gmn dah lingkungannya gmn sekolah apa kaga ni org ajg tolol sumpah gaabis pikir,individual
