comment_text,identity_attack,insult,profanity,threat,sexually_explicit
kalo bisa dimatiin dibunuh aja sekalian bikin kesel orang aja,0,1,0,1,0
seharusnya kasus sprti ini para penegak hukum harus menerapkan hukuman maksimal yaitu hukuman mati,0,0,0,1,0
dih bucinnya parah semoga dihukum berat,0,1,0,1,0
what the frik dia bilang punya anak cewek nyebut gw bisanya halal dibunuh ini ih keselllllll,0,0,0,1,0
banyak bangsat yg hrs dibunuh,0,1,1,1,0
harus ada yg dibunuh nih si wc,0,0,0,1,0
hrs jt plus dibunuh pengawalnya dan dipenjara kurang dzolim apa ni rezim tinggal menunggu murka allah,1,1,0,1,0
manusia sekarang nggak kalah sama setan ya,0,1,0,0,0
ddooohhhh kezel bat bacanyaaa ini ibu tolol banget,0,1,1,0,0
woi bangsat lu kalo komen nonton dulu videonya liat dulu beritanya goblok,0,1,1,0,0
yang terjadi di wadas itu bukti ketidak mampuan pemerintah nilai permusyawatan dan perwakilan dibunuh oleh pemerinta,1,1,0,0,0
memanusiakan manusia lah jangan biadab biadab jadi manusia,0,1,1,0,0
hukum cambuk sampai mati aja,0,0,0,1,0
para sampah ribut soal ceramah yg katanya menormalkan kd tapi diem soal  orang yg dibunuh keberpihakan lu kpd kebenaran atau kepentingan taek,1,1,1,0,0
bangsat loe ada  mahluk disiksa dibunuh pada mingkemlah ini cuma kontroversi memukul istri treak kayak toa,0,1,1,0,0
bangke loe monyet dia memperjuangkanmu lalu kao khianati monyet,0,1,1,0,0
setan biadab kau,0,1,1,0,0
kamu minta dibunuh ya,0,0,0,1,0
hukum mati aja sekalian ama sih randy bagus meresahkan,0,0,0,1,0
wajah polisi ini tolong dihafal mahasiswa ulm datang magang di polres malah diperkosa sama manusia ini,0,0,0,1,0
mukul jgn diartikan kdrt terus lo udah sinting yak g ada tuh yg namanya dipukul  ngajarin istri atau anak kalau begitu suami yg selingkuh pantas untuk dihajar bahkan dibunuh krn berzina dan g menjaga kemaluan,0,1,0,1,0
nangis bgt baca berita yang cewe diperkosa bahkan mau dibunuh sama supir dan kernet angkot pls hukum se berat beratnya dua orang itu,0,0,0,1,0
tai bgt lg melindungi dunia sebagai dokter tbtb dibunuh mafia tai kucing,0,1,1,0,0
orang kaya cio halal buat dibunuh ya bangsat tai kambing anjing,0,0,1,1,0
yg mengkudeta dan mengeksekusi pemimpinnya dilabeli apa tuh jgn nanti imam mahdi muncul pun dilabeli khawarij dan radikalis dan ditentang penguasa bahkan diburu dan dibunuh,1,1,0,0,0
edukasi buat ngejulidin orang yg hobi ngentod tapi giliran jadi anak mau dibunuh sembarangan klo gw ketemu yg beginian bukan gw julidin di tiktok lagi klo bisa gw katain makanya klo ngentod pake kondom,0,0,1,0,1
cok,0,0,1,0,0
bangsawannya bisa dibunuh aja ga sih jijik banget liatnya,0,1,0,1,0
bangsat,0,0,1,0,0
kadrun bloon masih ngeyel aja nih kalau mau tahu pembrontakan pki ya tanya soeharto di alam kubur sana drun,1,1,1,0,0
konsan konsen giliran hamil bilang kecelakaan giliran hamil bayinya digugurin giliran hamil melahirkan bayinya dibuang atau dibunuh giliran kena pms makanya guys konsen juga pake kondom gak gak yg bener kagak usah seks bebas tolil,0,1,0,0,1
aaaa masih eps  liat gwinam ngeselin parah knp ga dibunuh aja,0,0,0,1,0
pengikut dajjal itu orang beragama dan sudah mulai muncul di dunia ini mereka pake kopiah pake baju koko pake gamis tapi hatinya monster buat mereka yang berbeda pandangan dengan mereka halal untuk dibunuh,1,1,0,0,0
bangsat gua udh muak bgt sama kasus pemerkosaanpelecehan bahkan sampai korban dibunuh otaknya dimana si bangsat tolol tau ga sumpah goblok didikan orang tuanya gmn dah lingkungannya gmn sekolah apa kaga ni org ajg tolol sumpah gaabis pikir,0,1,1,0,0
kalau nafsu ya sewa psk anjinggg ini sudah merkosa anak org dibunuh juga dikiranya mbaknya tuh ada kloningannya apa bajingan memang segera kau mati bidadab bangsattt,0,1,1,1,0
slogan tuanku rakyat hanyalah omong kosong kemarin rembang sekarang wadas bapak adalah gubernur terburuk,0,1,0,0,0
dasar otak tumpul bacot gede,0,1,1,0,0
pb pmii kecam keras tindakan represif di wadas,0,0,0,1,0
yach si dandy lagi sjw kelas teri,0,1,0,0,0
pemimpin itu melayani bukan mengeksploitasi,0,1,0,0,0
berarti benar semua yg terjadi di wadas sudah direncanakansungguh sangat busuk,0,1,0,0,0
kalau berbicara ia berdusta itulah ciri orang munafik,0,1,0,0,0
gemborkan wadas tapi otaknya sendiri ga waras,0,1,0,0,0
maen bacok an ayo quenmutia kalau kamu suka bunuh orang masuklah agama islam karena hanya islam yang ajarkan umat membunuh jihad,1,0,0,1,0
betul dan semua pihak yang menentang sih cina kafir ahok akan di kriminalisasi oleh polisi dengan semua rekayasa hukum nya,1,1,0,1,0
aliansi bem seui mengecam keras berbagai bentuk perampasan ruang hidup dan perusakan lingkungan yang kini tengah dialami masyarakat wadas kami pun menolak segala bentuk intimidasi represi dan produksi ketakutan yang diproduksi oleh alat negara kami bersama wadas ,0,0,0,1,0
kasihan anakkutelah dibikin repot uu cipta kerjatetapi mereka belum puassekalian dicekik dg uu jhtdasar rezim dajjal   ,1,1,0,0,0
katanya ingin mati syahid biar ketemu bidadari udah dikabulkan ko disalahin kasihan mereka efek beguru kepada si cabul kmpetugastidaksalah,0,1,0,0,0
tai,0,0,1,0,0
anjenk,0,0,1,0,0
najis kadrun tolol iningaji aja ngk bisa,1,1,0,0,0
anying,0,0,1,0,0
anjir,0,0,1,0,0
bukan males sama lingkungan kerja gua tapi segelintir orang di luar kerjaan yg bikin gua muak cape anjing,0,1,1,0,0
bangke,0,0,1,0,0
tolol,0,0,1,0,0
kesel bgt bgstttt punya kelompok pd ga bisa di andelin muak bgt pd bacot ngajakin kerkel tapi pas kerkel malah main ud di bilangin bhs di grup bagi tugas saling ngasi saran tp malah gd yg respon anjing bgt anjingggg,0,1,1,0,0
punya laki tuh ribet blm larangan ini itu blm ngeladenin sifat aneh dia bener deh saat ini lg muak bgt,0,1,0,0,0
aku juga udah muak liat kelakuanmu tee ga punya pendirian banget jadi lelaki,0,1,0,0,0
jangankan bapaknya gua yang baca aja muak ama lu,0,1,0,0,0
pingin ku bom nuklir sih ni orang terusan nanya hal yang sama berulang kali lamalama muak tau,0,1,0,1,0
ngga punya malu nih orang dua periode aja gagal  amit amit muak gue liatnya,0,1,0,0,0
muak banget gua sama ni org dari pas kejadian dia nyela speechnya ts,0,1,0,0,0
kurang kerjaan banget lu ngurusin hidup gue,0,1,0,0,0
udah pls jangan ngomong apaapa lagi muak banget gue denger pepatah lu,0,1,0,0,0
anjrit,0,0,1,0,0
anjing banget lu vina biadab hee gw ngapa lu gituin setan,0,1,1,0,0
kadrun goblok pea saat ini bego nya paling biadab ,1,1,1,0,0
biadab,0,0,1,0,0
tetap aja korupsi paling biadab dalam sejarah indonesia yang maling dana bansos saat pandemi,0,1,1,0,0
hindu india biadab,1,1,1,0,0
biadab laknatullah  dasar setan masuk neraka kalian,0,1,1,1,0
pantesan aja dulu setan gak mau sujud ama manusia ternyata setan tau kalo manusia itu bisa lebih kejam dan biadab di banding setan,0,1,1,0,0
kejahatan peci putih daster putih sorban putih kadrun itu jauh lebih biadab banget dari kejahatan kerah putih,1,1,1,0,0
kaya tempe gosong wkrt jgn nanti ky orang papua d lebih baik kamu saja dibakar wkrt itu saja,1,1,0,1,0
ini sih keterlaluan mereka hanya berani menyerang perempuan laki pengecut biadab india rasis,1,1,1,0,0
ustadz bejatmengajar ngaji sambil ngentodin santrinyabiadab,0,0,1,0,1
tunggu pembalasan kami,0,0,0,1,0
perlu dikebiri biar jadi siksanya seumur hidup,0,0,0,1,0
manusia pengecut biadab sama anjing kecil aja berani nya pake tongkat semoga mendapat karma yg lebih berat manusia kok lebih rendah dari pada anjing,0,1,1,1,0
memang biadab mereka yg mendukung pembunuhan laskar fpiemangnya para setansetan pendukung ini yg memikirkan bagaimana perasaan keluarga korban,1,1,0,1,0
tidak ada kata maaf coba gantian objek tembak nya ke oknum yang menembak korban kalau korban masih hidup pun ga akan di maafin jadi dendam seumur hidup pak,0,0,0,1,0
jeonghan gw dendam sama lo fix anjink,0,1,1,0,0
gua udah dendam kesumat ge mau gua bakar aja rumahnya,0,0,0,1,0
ketinggalan kereta karena berantem sama tokang bakso gw tabrak lu,0,0,0,1,0
iyaa kek kesel banget dikira lagi bercanda apa kalau emang homo bilang dong,0,1,0,0,1
kesel bgtt liat yesus naik,1,0,0,0,0
dasar homo lu,0,1,0,0,1
coli,0,0,1,0,1
memek,0,0,1,0,1
kontol,0,0,1,0,1
meki,0,0,1,0,1
ngentot,0,0,1,0,1
henceut,0,0,1,0,1
senok,0,0,1,0,1
nyenok,0,0,1,0,1
nyepong,0,0,1,0,1
sepong,0,0,1,0,1
ngewe,0,0,1,0,1
ngaceng,0,0,1,0,1
ewe,0,0,1,0,1
iya jir kesel sama fpi,1,1,0,0,0
peler,0,0,1,0,1
kesel banget kontol dimaki jablay,0,1,1,0,1
gitu doang horny lu,0,0,0,0,1
coli mulu kerjaanlu,0,1,1,0,1
gajelas lo goblok gitu aja ketawa ya gue lagi ngomong di zoom ajg kesel bgt elah,0,1,1,0,0
benerbener kesel bgt di tipu seller kontol gw cari terus gw tonjok lu,0,0,1,1,1
kesel banget gw bunuh lu,0,0,0,1,0
cari orangnya sampai ketemu lalu penjarakan,0,0,0,1,0
cok beban tim asu,0,1,1,0,0
anak ngentot asu bkin emosi banget kontol,0,0,1,0,1
jancok kontol meki kok kadrun sange gw bunuh lu,1,1,1,1,1
gada yg bisa dipercaya kontol lu semua,0,1,1,0,1
sebenernya ga sesusah itutp eko emg bangsat sebangsat bangsat nya bangsat,0,1,1,0,0
tolllll kontol,0,0,1,0,1
brengsek,0,0,1,0,0
bangsat duit ketelan habis itu otp gk masuk masuk ngentot gw bakar juga tuh gedung,0,1,1,1,1
kampret,0,0,1,0,0
badut gurun biang kerok cuma nyampah di nkri,1,1,0,0,0
kadrun onta ini msti ditembak palanya,1,1,0,1,0
te onta bangke bangsat biang kerok smua onar di nkri harus dibasmi seperti pki dulu dibasmi,1,1,1,1,0
jancok,0,0,1,0,0
anjing berak dicelana mana lagi ngentot,0,0,1,0,1
tai anjink gw ebol nangis lu,0,0,1,1,1
pantek,0,0,1,0,0
kesel banget buset gue santet lu biar modar,0,0,0,1,0
aaaaaaaaaa gw kesel w mau nonjokin org woii,0,0,0,1,0
kesel banget sumpah pingin gue getok nih orang,0,0,0,1,0
kenapa dia bodoh banget ya,0,1,0,0,0
kadang gue kesel banget punya bokap miskin begini whatsapp cuma minta duit doang,0,1,0,0,0
kesel banget babi,0,0,1,0,0
dasar orang stress anjing kesel,0,1,1,0,0
lu teledor,0,1,0,0,0
kesel aja mukanya macem bocil,0,1,0,0,0
aku pengen bgt liat muka orang ngacengan ini,0,1,0,0,1
najis sama cara bucin lo,0,1,0,0,0
gue ilfil liat perbucinan dia jatohnya iri apa emang uda eneg siiii panas kaga ilfil iye,0,1,0,0,0
tangan gue gatel nih sama cina gereja eneg gue,1,0,0,0,0
bacot,0,0,1,0,0
dasar lonte kerjaan ngewe sana sini,0,1,1,0,1
orang kayak gini harusnya dibunuh saja,0,0,0,1,0
genit banget jadi orang,0,1,0,0,1
dasar pembohong kau sejam aja udah eneg,0,1,0,0,0
aduh gue eneg sama penyembah berhala,1,1,0,0,0
orang jawa tuh lemot banget sih,1,1,0,0,0
gw eneg sama kebodohan masyarakat yang kemarin memilih jokowi,1,1,0,0,0
idih makin eneg aj liat lo,0,1,0,0,0
gw udh eneg sama jamet dan antek anteknya,1,1,0,0,0
patahin tangan pembully itu sih,0,0,0,1,0
bencinya gue ke orang itu bener mendarah daging tau ga yg kalo ngeliat dia tu gue eneg banget yg sampe mo muntah dan pengen gua bunuh asli ini w ga boong,0,1,0,1,0
sorry banget gue eneg liat kelakuan lo halu ada batasannya bro kata gue sih mending lo berzikir,0,1,0,0,0
dasar lonte gatau diri,0,1,1,0,1
bangsat kontol nih orang ngacengan bangke,0,1,1,0,1
dasar penyembah sapi gua makan nih sapi lu,1,1,0,0,0
gua laporin lu,0,0,0,1,0
dikta anjing anjing anjing fuck you goblok monyet lu setan babi asu brengsek bangsat goblok,0,1,1,0,0
anj astagfirullah tobat anj cowo gue lo apain sialan dasar orang sunda sok cantik,1,1,1,0,0
kirain muka doang yg burik ternyata kontol lu juga ya kah memang la pantek muka kau awak tengok,0,1,1,0,1
temen aing kampret dirty mind,0,1,1,0,0
pengkhianat busuk minta dikeroyok,0,1,0,1,0
fatahilah kontol,0,0,1,0,1
ini knp nilai gua lebih rendah dari yg gua contekin kontol,0,0,1,0,1
ini pacarny knp ga ngomong jancok aja ya,0,0,1,0,0
yg musti di musnah kan loe,0,0,0,1,0
tenggorokan gue makin kaya asu,0,0,1,0,0
temen apaan lo gak ada lo juga gue gak rugi kali bangsat,0,1,1,0,0
afh iyh km kontol sumpah no dino kontol biji peler,0,1,1,0,1
asu,0,0,1,0,0
kecewa banget tapi cm bisa ketawa kontol emang ckckck goblok dep goblok,0,0,1,0,1
tau ah emosi bgt gw bangsat,0,0,1,0,0
kampret lu anying,0,1,1,0,0
bangsat deg deg an jantung otw copot,0,0,1,0,0
wah gak bener nih si brengsek,0,1,1,0,0
parah banget sih lu,0,1,0,0,0
orang ini gak tau malu ya bangsat,0,1,1,0,0
bangsat lu otak udang,0,1,1,0,0
nah ini kayak udah didepan orangnya kenapa ga negor langsung sih ngapain masi perlu di up ke sosmed ngapa ga langsung ditegor ditempat aja,0,0,0,1,0
gua shock banget bangsat,0,0,1,0,0
sengaja adu domba aja biar saling berantem,0,0,0,1,0
sabar  yg benci dan caci maki uas adalah para munafiq pki anak lahir di luar nikah orang tuanya pencuri penjilat pelacur budak cukong pemakan rezeki haram dan rata rata tdk berpendidikan,1,1,1,0,1
najis dah org begini,0,1,0,0,0
dasar game haram penciptanya anak yatim,1,1,0,0,0
ke logout mulu bajingan,0,0,1,0,0
anjg yg sumpahhh lemes banget bangsat,0,0,1,0,0
idih si najis idih idih si najis lu wibu,1,1,0,0,0
yampun kangen dick doi bangsat,0,0,1,0,1
bangsattttt pokoknya bangsat mereka semua jamet,1,1,1,0,0
penak sing memek maido jancok ,0,0,1,0,1
para bajingan perusak negeri berkedok agama,1,1,0,0,0
itu namanya munafikk drunnnpara kadrun mulutnya selalu kofar kafor horam haram ehh giliran junjungannya punya hajat sponsor miras pada mingkem,1,1,0,0,0
bajingan emang si munafikk tp rata kadrun ya cabul sih orgnya,1,1,1,0,0
anjing lah buka twitter langsung disambut berita gak enak bangsat,0,0,1,0,0
kalimat yg sopan aja bisa membawa dosa bagaimana dengan taik lo bangsat lo kurang ajar kntl lo dll ya,0,0,1,0,1
agensi korea bangsat anjir kenapa gak nunggu ot cb aja senior nya aja dulu di cb in,1,1,1,0,0
gw pukul ya lu,0,0,0,1,0
uas haram haram cadar,1,1,1,0,0
bangsat gmn caranya anying,0,0,1,0,0
hahahahaha bangsat gue cape bgt kampret komunikasi jalur perek,0,0,1,0,1
mulut tetangga pengen gue cabein,0,0,0,1,0
bajingan,0,0,1,0,0
owalah bangsat kontol,0,0,1,0,1
asu emosi gua lg tanya jawab malah kepental dri zoom anjir,0,0,1,0,0
ketemu gua tonjokin lu,0,0,0,1,0
mendingan terlihat bajingan tapi hati punya iman daripada terlihat rupawan tapi kelakuan kayak preman,1,1,0,0,0
ternyata elo rasis bedebah keparat,0,1,1,0,0
oalah asu memek,0,0,1,0,1
gw robek juga mulut nya,0,0,0,1,0
opm goblok kulit hitam,1,1,1,0,0
agama jelek ini saklek banget sama aturan pake cadar atau sarung tiba tiba isi bom,1,1,0,0,0
panas bat pantat gw jancok  tolongg,0,0,1,0,1
gue suka banget udang tapi alergiii bajingan,0,0,1,0,0
ayo lah sampai mana kao mau ku ladeni,0,0,0,1,0
gw tunngu loe yaa homo  jangan belagaak ajaa  sok berduit loe lagaak loe cong bangsat banget,0,1,1,1,1
faaaakkkk malesin kl tugas kelompok tuh asu,0,0,1,0,0
blonk di qrt emang kaya anjing bangsat babi idiot,0,0,1,0,0
noh yg kmrn bikin twt bersatu bersatu bokep sama blonk kek power ranger sini lo anjing bangsat ketipu kan lo,0,0,1,0,1
ngapain nyeret partai ummat dan pks segalahanya mau cari popularitas aja ini org perjuangan telek asu,1,1,0,0,0
mati aja bisa ga sih tuh orang,0,0,0,1,0
alkohol sudah resmi dihalalkan oleh para kadrun keparat dan kadrik bahlul di bawah pimpinan wan abud bin abu nawas,1,1,1,0,0
gregetan banget klo gua yg di gituin abis tuh orang babak belur sma gua,0,0,0,1,0
anjing goblok tolol babi setan monyet bego oon bangsat,0,1,1,0,0
bangsat gue salah apa anjeng di blokir lagi,0,0,1,0,0
bangsat temen gua jamet semua,1,1,1,0,0
najis gue kalo lg baper ama org cringe bgt jijik gue,0,1,0,0,0
jancok gua lupa makan saking hektiknya hari ini asu,0,0,1,0,0
dih apaansi gajelas loselagi dia enjoy kenapa lu larangyg penting dia melaksanakan kewajiban seorang wanita pake jilbabrokok juga bukan barang haramso iye lo,1,1,1,0,0
bangke kaget bgt,0,0,1,0,0
gatau ah bangsat galau gua anjing,0,0,1,0,0
sini gua pukul aja lu,0,0,0,1,0
knp ngomong asu enak bgt,0,0,1,0,0
manusia biadab ngentot aslinya dia itu syetan bertubuh manusia emosi lihat manusia seperti itu,0,0,1,0,1
bangsat memang mereka semua yang ada di hima,1,1,1,0,0
berantem aja lah kita sini,0,0,0,1,0
nak siblings jamet selalu,1,1,0,0,0
perih bngt asu mata aing,0,0,1,0,0
minta diantemi,0,0,0,1,0
loe seganteng apa asu sampe brani ngmng kek gtu jnck,0,1,1,0,0
bacot lu,0,1,1,0,0
lebih baik pk pengadilan jalanan nie orang sering nongkrong dmn samperin,0,0,0,1,0
pancen bajingan tak bermoral kaum kadrun sampah,1,1,1,0,0
lo kontol udah putus ya udahlah temen lo ga salah dia juga punya hak deketin mantan yang udah ga lo sukain itu najis punya temen kaya sender,0,0,1,0,1
