comment_text,religion_creed,race_ethnicity,physical_disability,gender_sexualorientation,other
kalo bisa dimatiin dibunuh aja sekalian bikin kesel orang aja,0,0,0,0,1
seharusnya kasus sprti ini para penegak hukum harus menerapkan hukuman maksimal yaitu hukuman mati,0,0,0,0,1
dih bucinnya parah semoga dihukum berat,0,0,0,0,1
what the frik dia bilang punya anak cewek nyebut gw bisanya halal dibunuh ini ih keselllllll,0,0,0,0,1
banyak bangsat yg hrs dibunuh,0,0,0,0,1
harus ada yg dibunuh nih si wc,0,0,0,0,1
hrs jt plus dibunuh pengawalnya dan dipenjara kurang dzolim apa ni rezim tinggal menunggu murka allah,1,0,0,0,0
manusia sekarang nggak kalah sama setan ya,0,0,0,0,1
ddooohhhh kezel bat bacanyaaa ini ibu tolol banget,0,0,0,0,1
woi bangsat lu kalo komen nonton dulu videonya liat dulu beritanya goblok,0,0,0,0,1
yang terjadi di wadas itu bukti ketidak mampuan pemerintah nilai permusyawatan dan perwakilan dibunuh oleh pemerinta,0,0,0,0,1
memanusiakan manusia lah jangan biadab biadab jadi manusia,0,0,0,0,1
hukum cambuk sampai mati aja,0,0,0,0,1
para sampah ribut soal ceramah yg katanya menormalkan kdrt tapi diem soal  orang yg dibunuh keberpihakan lu kpd kebenaran atau kepentingan taek,0,0,0,0,1
bangsat loe ada  mahluk disiksa dibunuh pada mingkemlah ini cuma kontroversi memukul istri treak kayak toa,0,0,0,0,1
bangke loe monyet dia memperjuangkanmu lalu kao khianati monyet,0,0,0,0,1
setan biadab kau,1,0,0,0,0
kamu minta dibunuh ya,0,0,0,0,1
hukum mati aja sekalian ama sih randy bagus meresahkan,0,0,0,0,1
wajah polisi ini tolong dihafal mahasiswa ulm datang magang di polres malah diperkosa sama manusia ini,0,0,0,0,1
mukul jgn diartikan kdrt terus lo udah sinting yak g ada tuh yg namanya dipukul  ngajarin istri atau anak kalau begitu suami yg selingkuh pantas untuk dihajar bahkan dibunuh krn berzina dan g menjaga kemaluan,0,0,1,0,0
nangis bgt baca berita yang cewe diperkosa bahkan mau dibunuh sama supir dan kernet angkot pls hukum se berat beratnya dua orang itu,0,0,0,0,1
